ID SOCIO;DNI;APELLIDO;NOMBRE;ULTIMO PAGO;FECHA INGRESO
1;118528638;FEVERYEAR;Danell;30/6/2022;30/6/2022
2;44927827;KUBERA;Daniella;30/6/2022;30/6/2022
3;485166377;STRAHAN;Lotti;30/6/2022;30/6/2022
4;134381817;GLAZIER;Herve;30/6/2022;30/6/2022
5;335739513;LOCOCK;Vinni;30/6/2022;30/6/2022
6;85823517;DUMBLETON;Cordy;30/6/2022;30/6/2022
7;554554569;DRAGGE;Gwenneth;30/6/2022;30/6/2022
8;460216275;LOVEWELL;Ame;30/6/2022;30/6/2022
9;170165842;PIKEN;Benjie;30/6/2022;30/6/2022
10;476072600;MERTEL;Carine;30/6/2022;30/6/2022
11;244212078;NEALY;Wolfgang;30/6/2022;30/6/2022
12;26668133;BABE;Kelvin;30/6/2022;30/6/2022
13;551152634;PRESSLEE;Hana;30/6/2022;30/6/2022
14;241702944;GRISENTHWAITE;Clarisse;30/6/2022;30/6/2022
15;465080662;TRAZZI;Gard;30/6/2022;30/6/2022
16;289925572;FORESIGHT;Alla;30/6/2022;30/6/2022
17;528512672;CAZE;Ethyl;30/6/2022;30/6/2022
18;209603532;MANIFIELD;Kirstyn;30/6/2022;30/6/2022
19;75620445;HUGUET;Levey;30/6/2022;30/6/2022
20;520981544;CAYTON;Silvia;30/6/2022;30/6/2022
21;290075824;POLK;Ryan;30/6/2022;30/6/2022
22;329049343;JINDA;Vannie;30/6/2022;30/6/2022
23;512883558;ALYUKIN;Egor;30/6/2022;30/6/2022
24;446886231;DESSEINE;Theo;30/6/2022;30/6/2022
25;393989050;BAWCOCK;Devland;30/6/2022;30/6/2022
26;332728879;GROUCUTT;Letitia;30/6/2022;30/6/2022
27;14912491;MILAN;Riobard;30/6/2022;30/6/2022
28;174344998;ARLOTT;Eliza;30/6/2022;30/6/2022
29;17097852;PARAMORE;Inesita;30/6/2022;30/6/2022
30;260917195;MORENA;Jamison;30/6/2022;30/6/2022
31;124169682;BEDDOW;Camille;30/6/2022;30/6/2022
32;259639050;SCHOTT;Salome;30/6/2022;30/6/2022
33;168258516;FARMAR;Marcello;30/6/2022;30/6/2022
34;430687982;SOLLEY;Corena;30/6/2022;30/6/2022
35;533486414;AITCHESON;Innis;30/6/2022;30/6/2022
36;128302879;HAUXBY;Jeane;30/6/2022;30/6/2022
37;30805673;SPILSTED;Eberto;30/6/2022;30/6/2022
38;65952764;SPURNIER;Robinett;30/6/2022;30/6/2022
39;211863763;CHATWOOD;Jeremy;30/6/2022;30/6/2022
40;214211112;BURREN;Elisabet;30/6/2022;30/6/2022
41;386121894;SCOTCHBOUROUGE;Aymer;30/6/2022;30/6/2022
42;373738411;BLEAKLEY;Josias;30/6/2022;30/6/2022
43;321401703;BENDITT;Abbey;30/6/2022;30/6/2022
44;443411441;ANTONOGNOLI;Carolina;30/6/2022;30/6/2022
45;265187974;CALLEJA;Jacquelynn;30/6/2022;30/6/2022
46;282980408;DULSON;Therine;30/6/2022;30/6/2022
47;295854228;OHLSEN;Janetta;30/6/2022;30/6/2022
48;548563539;ELLERMAN;Rhianna;30/6/2022;30/6/2022
49;587155454;READMIRE;Vanni;30/6/2022;30/6/2022
50;44916572;CRANMOR;Rhetta;30/6/2022;30/6/2022
51;574587108;SHOORBROOKE;Shae;30/6/2022;30/6/2022
52;204891866;BOWLLER;Roanne;30/6/2022;30/6/2022
53;228792949;MATTEUCCI;Jacinda;30/6/2022;30/6/2022
54;134987828;ROCKWELL;Nolie;30/6/2022;30/6/2022
55;129112323;RADELIFFE;Helli;30/6/2022;30/6/2022
56;12480219;RUPRECHT;Clarey;30/6/2022;30/6/2022
57;418432664;JEFFELS;Lem;30/6/2022;30/6/2022
58;302860023;FRISCH;Kacy;30/6/2022;30/6/2022
59;596974228;MELLISH;Sherwynd;30/6/2022;30/6/2022
60;465354293;PETROVIC;Dara;30/6/2022;30/6/2022
61;538112881;STUTHER;Chryste;30/6/2022;30/6/2022
62;425003154;EYCKELBERG;Sherill;30/6/2022;30/6/2022
63;130338158;FOWLS;Emmanuel;30/6/2022;30/6/2022
64;65792438;MALT;Shannen;30/6/2022;30/6/2022
65;95432240;LENAHAN;Roland;30/6/2022;30/6/2022
66;262564435;DUDMESH;Winthrop;30/6/2022;30/6/2022
67;452603290;TERTRE;Heda;30/6/2022;30/6/2022
68;306720888;WETHERALD;Ulrike;30/6/2022;30/6/2022
69;240246672;ENSLEY;Jude;30/6/2022;30/6/2022
70;573976561;SALTSBERGER;Gates;30/6/2022;30/6/2022
71;19957547;FELD;Keelia;30/6/2022;30/6/2022
72;505515338;COSTIGAN;Georgine;30/6/2022;30/6/2022
73;292150772;LEDINGTON;Julie;30/6/2022;30/6/2022
74;413507643;MOHUN;Jerrome;30/6/2022;30/6/2022
75;46680782;RIDGERS;Gabriella;30/6/2022;30/6/2022
76;297259942;MUFFIN;Emmalynne;30/6/2022;30/6/2022
77;184512526;KYNETT;Orly;30/6/2022;30/6/2022
78;347138746;CALABRY;Annissa;30/6/2022;30/6/2022
79;24150315;WHITLAM;Bendick;30/6/2022;30/6/2022
80;482614428;ISHCHENKO;Stanislaus;30/6/2022;30/6/2022
81;279962065;CLYMA;Cyb;30/6/2022;30/6/2022
82;381067462;BEEVORS;Richmound;30/6/2022;30/6/2022
83;194288465;KORDES;Maye;30/6/2022;30/6/2022
84;34551489;AMSBERGER;Eleonore;30/6/2022;30/6/2022
85;113946774;KOWALIK;Tiertza;30/6/2022;30/6/2022
86;431347973;DORCEY;Gail;30/6/2022;30/6/2022
87;179100052;MAGENNY;Mona;30/6/2022;30/6/2022
88;417526248;LORRIE;Dave;30/6/2022;30/6/2022
89;527798894;MATTHOLIE;Ileana;30/6/2022;30/6/2022
90;500847008;OXX;Lemmy;30/6/2022;30/6/2022
91;285387402;BUFFY;Trumaine;30/6/2022;30/6/2022
92;380445290;GRIER;Rosabella;30/6/2022;30/6/2022
93;282047613;GEDNEY;Prue;30/6/2022;30/6/2022
94;45933312;LANGWORTHY;Corrie;30/6/2022;30/6/2022
95;27532109;TROUBRIDGE;Harmony;30/6/2022;30/6/2022
96;470993244;IRELAND;Leshia;30/6/2022;30/6/2022
97;61584675;MOOHAN;Federica;30/6/2022;30/6/2022
98;108208540;ALEKSEICIK;Catriona;30/6/2022;30/6/2022
99;288927641;PHILPIN;Ferne;30/6/2022;30/6/2022
